,unit,cluster_label,story_id
52,The knight is released from the pit .,742,2
53,The knight amends his behavior and repays the king 's trust .,742,2
54,The knight dies in peace at an old age .,742,2
55,St. Jerome and his monks are sitting at the gate of their monastery .,2824,3
56,A big lion appears walking towards the monks .,2319,3
57,The lion is limping as he walks .,4304,3
58,The lion holds up a paw and looks at the monks .,2319,3
59,St. Jerome takes the lion 's paw and finds a thorn .,2635,3
60,St. Jerome pulls out the thorn and binds up the lion 's injured limb .,2635,3
61,The lion is grateful and stays in the monastery .,4122,3
62,The lion becomes the ass 's guardian to prevent idleness .,5264,3
63,The lion falls asleep while the ass is grazing .,5264,3
64,"Merchants steal the ass , thinking the lion is alone .",698,3
65,The lion is left without the ass and tries to find him .,698,3
66,St. Jerome thinks the lion ate the ass out of hunger .,698,3
67,The lion is tasked with carrying firewood instead of the ass .,698,3
68,The lion carries the firewood and still looks for the ass .,698,3
69,The lion sees a caravan with the ass and drives it into the monastery .,698,3
70,The merchants confess and are forgiven by St. Jerome .,450,3
71,"The ass returns to the merchants , and the lion stays with St. Jerome .",698,3
72,A lion enters the forest .,303,4
73,The lion gets a thorn in his foot .,2635,4
74,The lion meets a shepherd .,2419,4
75,The lion asks the shepherd to remove the thorn .,2635,4
76,The shepherd removes the thorn from the lion 's foot .,2635,4
77,The lion eats another shepherd .,6213,4
78,Time passes .,3145,4
79,The same shepherd is falsely accused and put in the amphitheater .,4770,4
80,The lion and other lions are ready to eat the shepherd .,6213,4
81,One lion recognizes the shepherd as the one who removed his thorn .,2635,4
82,The lion tells the other lions about the shepherd 's past kindness .,2419,4
83,"The other lions decide not to eat the shepherd , instead letting the one lion eat him .",2419,4
84,A slave runs away from his master .,1819,5
85,The slave enters the desert .,1819,5
86,The slave enters a cave .,1819,5
87,A lion appears in the cave .,2618,5
88,The lion fawns on the slave .,698,5
89,The slave examines the lion 's paw .,1474,5
90,The slave finds a thorn in the lion 's paw .,1474,5
91,The slave removes the thorn .,3488,5
92,The slave dresses the lion 's wound .,1474,5
93,The lion 's wound heals .,698,5
94,The lion and slave become friends .,698,5
95,The slave misses his fellow men and decides to leave the cave .,1819,5
96,The slave is recognized in town and arrested .,1474,5
97,The slave is ordered to be thrown to the beasts in the theater .,1474,5
98,The slave is cast into the arena with other beasts .,1474,5
99,A lion in the arena lies down at the slave 's feet .,1474,5
100,An archer catches a little bird called a nightingale .,6012,6
101,"The nightingale speaks to the archer , asking him not to kill her .",6012,6
102,The archer promises the nightingale her liberty in exchange for three rules .,6012,6
103,"The nightingale gives the archer three maxims : never attempt impossibilities , do not lament an irrecoverable loss , and do not credit things that are incredible .",4156,6
104,The archer lets the nightingale go .,746,6
105,The nightingale sings an exquisite song and escapes .,6012,6
106,The nightingale accuses the archer of being foolish and having lost a great treasure .,4156,6
107,"The archer tries to catch the nightingale again , but fails .",4156,6
108,The nightingale scolds the archer for not following her counsel and for believing in the existence of a pearl inside her .,4156,6
109,"The nightingale flies away , and the archer returns sorrowfully to his house .",746,6
110,A rich man walks in his garden .,4733,7
111,He notices a small bird caught in a net .,2274,7
112,The man takes the bird out of the net .,3400,7
113,The bird begins to speak and asks the man for its freedom .,5464,7
114,The bird argues that being captive is of no use to the man .,145,7
115,The man accepts the bird 's request for freedom in exchange for three wise teachings .,5464,7
116,"The bird gives the man three wise teachings : do n't grieve over past events , do n't wish for unattainable things , and do n't believe in impossibilities .",5464,7
117,The man decides to let the bird go free .,3400,7
118,The bird flies away and the man hears its laughter .,2947,7
119,The bird reveals its voice is coming from a tree .,5916,7
120,The man asks the bird why it is laughing .,2274,7
121,The bird states it is happy about its easily won freedom and mocks the man .,2274,7
122,The bird claims it has a diamond inside its body .,3818,7
123,"The man attempts to persuade the bird to stay , offering it shelter and food .",5464,7
124,The bird criticizes the man 's decision to let it go and mocks his misunderstanding of its teachings .,2528,7
125,The man becomes angry and the bird flies away .,2947,7
126,The first of three kids says they do n't know what to do .,2348,8
127,The second kid says they know what to do and suggests stealing oil from Benibaire 's house .,3528,8
128,The kids agree to go to PERSON 's house and steal oil .,3528,8
129,"After walking a league , the kids hear a voice crying ' PERSON , bah ' .",4698,8
130,"They see a great sheep and are afraid , then run away .",370,8
131,The sheep asks where the kids are going .,623,8
132,"The kids reveal their plan to steal oil , and the sheep offers to join them .",623,8
133,The kids agree to have the sheep join them .,623,8
134,"They continue walking and hear a voice saying ' Mieaou , mieaou ' .",4698,8
135,"They see a great black cat and are frightened , then run away .",153,8
136,The cat asks where the kids are going .,937,8
137,"The kids reveal their plan to steal oil , and the cat offers to join them .",3528,8
138,The kids agree to have the cat join them .,0,8
139,They continue walking and hear a voice crowing ' Cock - a - doodle - doo ' .,4698,8
140,"They see a fiery cock and are frightened , then flee .",370,8
141,The cock asks where the kids are going .,2152,8
142,"The kids reveal their plan to steal oil , and the cock offers to join them .",3528,8
143,The kids agree to have the cock join them .,2152,8
144,"They continue walking and see a packing needle , and are frightened .",4879,8
145,The needle asks where the kids are going .,4231,8
146,"The kids reveal their plan to steal oil , and the needle offers to join them .",3528,8
147,The kids agree to have the needle join them .,4231,8
148,They arrive at Benibaire 's house and the kids wonder how to get in .,4278,8
149,The cock offers to fly onto the roof and open the door .,4311,8
150,The cock flies onto the roof and opens the door .,4311,8
151,"The kids enter the house and hide : the cock in the chimney , the cat in the cinders , the needle in a towel , and the sheep behind the door .",4988,8
152,The kids go to draw oil from the jars .,3438,8
153,"They drop the funnel , which alerts Benibaire .",770,8
154,Benibaire gets up and goes to check the chimney .,216,8
155,The cock drops lime into Benibaire 's eyes .,404,8
156,Benibaire runs to wipe his face .,4213,8
157,The needle pricks Benibaire .,5815,8
158,Benibaire goes to kindle a fire with the cat 's eye .,2423,8
159,A boy named PERSON decides to seek his fortune .,6007,9
160,PERSON meets a cat on his journey .,810,9
161,"The cat asks to join PERSON , and PERSON agrees .",0,9
162,PERSON and the cat continue their journey .,810,9
163,"They come across more animals ( a dog , a goat , a bull , a skunk , a rooster ) and ask if they can join PERSON .",567,9
164,"Each animal asks to join PERSON , and PERSON agrees .",567,9
165,They all continue their journey together .,2969,9
166,"As it gets dark , they need to find a place to spend the night .",3286,9
167,They come across a house and decide to sneak in to see if they can stay there .,4988,9
168,PERSON peers through the window and discovers a group of robbers .,903,9
169,PERSON lets the other animals know that the robbers will arrive at night and tells them to create a disturbance to scare them away .,2933,9
170,The animals make a loud noise at night to scare the robbers away .,2933,9
171,"The robbers run away , and the animals occupy the house .",365,9
172,PERSON puts each animal in a different part of the house for the night .,3908,9
173,A robber is sent to retrieve money from the house but encounters unexpected obstacles while trying to enter the house .,903,9
174,The robber returns to the group and tells them a frightening story about the obstacles he encountered .,2038,9
175,A boy named PERSON sets out to seek his fortune .,6007,10
176,He meets a horse and invites it to accompany him .,2848,10
177,The horse agrees to go with PERSON .,1478,10
178,They encounter a cow and the same conversation happens .,1849,10
179,The cow also agrees to go with PERSON .,5152,10
180,This pattern continues with a ram and a dog .,390,10
181,A cat also agrees to join them .,0,10
182,"They meet a rooster , but it does not want to go with them .",66,10
183,They find a log cabin to spend the night in .,3286,10
184,PERSON lets the animals into the house to guard it .,4842,10
185,The dog chases and bites the robbers when they enter .,4014,10
186,The cat scratches the robbers when they try to light a match .,25,10
187,The rooster drops waste on the robbers .,2671,10
188,The cow tosses the robbers in the air .,73,10
189,The ram helps the cow by tossing the robbers too .,182,10
190,The robbers are eventually killed by the animals .,2933,10
191,PERSON finds a bag of gold under his bed .,6258,10
192,PERSON keeps the gold and lives happily ever after .,424,10
193,PERSON asks his mother to bake his cake and kill his cock .,3267,11
194,His mother gives him her blessing or curse with the cake and cock .,3267,11
195,PERSON sets out on his journey with his party at dawn .,3728,11
196,His mother meets him at the bawn gate and wishes him well or ill .,80,11
197,PERSON meets a poor ass struggling in a bog and helps him out .,885,11
198,The ass offers to join PERSON on his journey .,1467,11
199,"PERSON , the ass , and the ass 's new friend travel through a village and meet a group of gorsoons .",885,11
200,"The ass 's loud roar chases the gorsoons away , and PERSON 's party gains their gratitude .",290,11
201,"PERSON 's party meets a poor dog , and the dog joins them .",1292,11
202,"As they continue their journey , their party grows to include a cat , who joins them for food .",801,11
203,The dog and the cat fight off a fox that tries to steal their cock .,5512,11
204,The robbers try to ambush PERSON 's party but are successfully ambushed themselves .,887,11
205,"The captured robbers flee in fear , and PERSON 's party gains the use of their house .",365,11
206,The captured robbers return to their comrades and try to convince them to fight back .,887,11
207,"However , they are thwarted by PERSON 's party , who attack and harm them .",4333,11
208,The leader of the robbers attempts to return for their ' honest ' goods but is thwarted by PERSON 's party .,887,11
209,"The leader of the robbers returns to their comrades with his story , and they vow revenge .",887,11
210,PERSON 's party returns the stolen goods to the Lord of Dunlavin and is welcomed as guests .,160,11
211,The Lord of Dunlavin offers to make PERSON his steward and dresses him in fine clothes .,4324,11
212,PERSON settles his mother in a nearby cottage and eventually marries the lord 's daughter .,2721,11
213,The narrator comments on PERSON 's likely struggles with being a gentleman .,92,11
214,A servant warns a cat about being slaughtered .,6235,12
215,A cat flees the farmyard .,5489,12
216,A man decides to slaughter the farm 's rooster .,3255,12
217,A servant warns the rooster about its fate .,6235,12
218,The rooster flees the farmyard .,2245,12
219,An ox also flees the farmyard .,2245,12
220,Several escaped farm animals meet in the woods .,4484,12
221,They ask a wolf about its destination .,980,12
222,"The PERSON is told to not go to the farm , as it is too dangerous .",4138,12
223,The PERSON joins the other animals instead .,567,12
224,A bear approaches them and is warned not to go to the village .,347,12
225,The bear joins the group instead .,1218,12
226,The group encounters a hare and convinces it to join .,408,12
227,"They approach a bath - house , despite a dog 's warning .",4018,12
228,The devil opens the bath - house door and is confronted by the animals .,1363,12
229,The animals attack and scare the devil away .,1363,12
230,The devil claims to have been attacked by various strangers in the bath - house .,1363,12
231,A man had a donkey who grew old and weak .,332,13
232,The master stopped feeding the donkey .,1853,13
233,The donkey noticed bad weather and escaped to Bremen .,1759,13
234,The donkey met a tired hunting dog on the road .,5889,13
235,The donkey invites the dog to join him as a town musician in Bremen .,1759,13
236,They were joined by a miserable cat sitting by the side of the road .,635,13
237,The donkey invites the cat to join them as a town musician in Bremen .,1759,13
238,The trio was joined by a crying rooster in a farmyard .,5448,13
239,The rooster tells them he 's destined to be eaten by his mistress .,66,13
240,The donkey invites the rooster to join them as a town musician in Bremen .,1759,13
241,They four companions spent the night under a tree in a forest .,1222,13
242,The rooster saw a light in the distance and informed the others .,66,13
243,"They decided to approach the light , which turned out to be a robbers ' house .",903,13
244,The animals discuss ways to drive the robbers away .,2933,13
245,They devise a plan to crash through the window and make music together .,1728,13
246,"They crash through the window , frighten the robbers , and eat the leftovers .",365,13
247,"The robbers flee , and the companions sleep in the house .",5517,13
248,"A robber returns to investigate and gets attacked by the dog , cat , and donkey .",2933,13
249,The robber mistakenly identifies the cat 's eyes as live coals and gets attacked again .,25,13
250,"The robbers decide not to return to the house , and the companions stay .",5517,13
251,The companions never leave the house and live happily ever after .,2032,13
252,"A bull , a tup , a cock , and a steg join together to seek their fortune .",3283,14
253,"The group asks for a night 's lodging , but is initially refused .",5750,14
254,The group is eventually allowed into the kitchen .,658,14
255,"The group decides where to sleep : bull on the floor , tup nearby , cock on a perch , steg by the door .",3908,14
256,"At midnight , two men outside discuss who should enter the house .",5115,14
257,One man enters the house .,3163,14
258,The bull gets up and attacks the intruder .,613,14
259,The tup joins the bull in attacking the intruder .,613,14
260,The cock challenges the intruder to bring him inside .,2081,14
261,The intruder is told ' I 'd best be out of this ' and flees .,960,14
262,The steg blocks the intruder 's escape and attacks him .,1662,14
263,The intruder reports a series of fantastical attacks and escapes .,1772,14
264,The second intruder flees when told about the first intruder 's experience .,960,14
265,A miller decides to sell his old donkey for its skin .,332,15
266,Grayskin the donkey is sad about his fate .,1853,15
267,Grayskin considers using his singing voice to earn a living .,2940,15
268,Grayskin decides to go to the Cathedral of St. Gudule in Brussels .,4863,15
269,Grayskin sets out on the road to Brussels .,4863,15
270,Grayskin meets an old hound on the way and sympathizes with his troubles .,1185,15
271,The hound and PERSON make plans to sing together in Brussels .,1185,15
272,Grayskin and the hound pick up a singing cat on the road .,1185,15
273,They are joined by a singing cock who had been sentenced to the pot for dinner .,2152,15
274,The four animals decide to serenade a house in a thick wood .,5988,15
275,They make a tower of their bodies to look into the house .,165,15
276,Their quartet of singing terrifies the robbers in the house .,2369,15
277,"The robbers , terrified , flee the house and the four animals enjoy the meal .",4014,15
278,"During the night , the robbers sneak back to the house and get attacked by the cat and dog .",2933,15
279,"The robbers , defeated , flee the forest and abandon their plans to return to the house .",5517,15
280,A miller 's servant asks to be dismissed and leaves the mill .,1414,16
281,The old servant says goodbye to his master .,780,16
282,The animals ask the servant where he is going .,2632,16
283,"The servant tries to leave the animals behind , but they follow him .",2632,16
284,The animals and the servant enter a forest .,5837,16
285,"The horse and ox find food , but the cat and dog go hungry .",2396,16
286,The animals and the servant come upon a locked house .,2632,16
287,The servant decides to enter the house with the animals .,2632,16
288,The animals are given specific places in the house .,3908,16
289,The animals are given food to eat .,1582,16
290,The servant falls asleep in a bed .,4726,16
291,A robber returns home and is detected by the animals .,2933,16
292,The animals attack the robber as he enters the house .,4014,16
293,The robber flees the house and reports the scary encounter to his fellow robbers .,365,16
294,The robbers decide not to return to the house due to fear .,5517,16
295,"The servant and the animals live peacefully in the house , producing more food than they can eat .",714,16
296,A dairymaid brings food to a sheep .,1966,17
297,The sheep eats a lot of food .,1966,17
298,The sheep escapes from its pen .,1856,17
299,The sheep visits a pig in the neighboring farm .,1215,17
300,The pig is informed of its impending death .,1945,17
301,The sheep and pig plan to leave their homes .,1065,17
302,They meet a goose who joins their group .,5011,17
303,They meet a hare who joins their group .,408,17
304,They meet a cock who joins their group .,2152,17
305,The group decides to build a house together .,5013,17
306,"The pig hews timber , the sheep draws it home , and the hare is carpenter .",816,17
307,The goose stuffs moss into the seams of the house .,1581,17
308,The cock helps keep everyone awake in the morning .,2094,17
309,They complete and live in the house .,2286,17
310,A wolf from a nearby den tries to gather information about the newcomers .,980,17
311,The wolf is rejected and attacked by the group .,169,17
312,The PERSON tells a different story of its own misadventure at the hands of a shoemaker and two smiths .,5895,17
313,A farmer has a White Pet ( sheep ) .,5074,18
314,The farmer plans to kill the White Pet for Christmas .,3255,18
315,The White Pet overhears the plan and decides to run away .,1097,18
316,The White Pet runs away and meets a bull .,613,18
317,The bull intends to run away with the White Pet because he 's also going to be killed .,613,18
318,"The White Pet and bull meet a dog , and the dog decides to join them .",613,18
319,"The party encounters a cat , who also agrees to join and run away .",801,18
320,"The group meets a cock , who decides to join their escape .",2152,18
321,"The party then meets a goose , who joins as well .",5011,18
322,"At night , the group sees a lit house and decides to investigate .",165,18
323,The group looks through the window and sees thieves counting money .,903,18
324,The party comes up with a plan to call their animal sound simultaneously to distract the thieves .,2933,18
325,"The White Pet and his companions yell out their sounds ( Gaire ! ) , causing the thieves to flee .",1097,18
326,"The thieves escape to a nearby wood , leaving the house empty .",5517,18
327,The group enters the house and takes the money from the thieves .,375,18
328,They divide the money among themselves and settle in for the night .,2286,18
329,"Each animal chooses where to sleep , according to their past habits .",3908,18
330,"A thief returns to the house to check for intruders , but the animals thwart his attempts .",2933,18
331,"The thief flees , telling his comrades that the house was occupied by a mysterious and powerful group .",960,18
332,The thieves lose interest in returning to the house and abandon their money to the group .,365,18
333,A person meets another being in a vast open area .,85,19
334,A being asks to accompany another on a journey .,3617,19
335,A second being agrees to join the first .,3707,19
336,The two beigns find a third being in a similar situation .,3707,19
337,The three beings convince the second one to stay and the group grows to four .,4599,19
338,"The group continues to grow , adding a fifth and sixth being , and then a seventh .",4599,19
339,The group of animals encounters a house with a table full of food .,4504,19
340,Robbers are eating from the table within the house .,4014,19
341,The group of animals comes up with a plan to scare the robbers out of the house .,2933,19
342,The group of animals uses noise to scare the robbers out of the house .,2933,19
343,The robbers flee from the house .,365,19
344,The group of animals enters the house and eats the food .,4504,19
345,"The group of animals decides to stay in the house overnight , guarding their food .",5455,19
346,The captain of the robbers sends a man to check on the group of animals .,2091,19
347,"The man is caught by the dog and sent flying into the loft , where he meets the ram .",390,19
348,"The ram throws the man out of the loft , and the man is caught by the donkey .",390,19
349,"The donkey throws the man into the fireplace , where he is caught by the cat .",914,19
350,"The cat scratches the man , and he flees out the back door , where he meets the goose .",937,19
351,"The man flees from the goose and a loud noise , and then meets the cock .",3611,19
352,"The cock warns the man to run , and he flees in terror .",3611,19
353,The man returns to his companions to tell them about the series of frightening events .,2038,19
354,Something drops on the house with a loud noise .,1884,20
355,The little boy jumps in surprise .,1688,20
356,Uncle Remus looks up in a triumphant tone .,2584,20
357,Uncle Remus identifies the noise as hickory nuts falling from a nearby tree .,2045,20
358,Uncle Remus and the little boy wait for the next thing to happen .,2584,20
359,"Another hickory nut drops on the roof , and the little boy jumps again .",1688,20
360,Uncle Remus laughs at the little boy 's reaction .,2584,20
361,Uncle Remus compares the little boy to Brother Rabbit .,6309,20
362,The little boy wants to hear more about Brother PERSON 's story .,1812,20
363,Uncle Remus tells a story about Brer Rabbit hearing Mr. PERSON cutting down a tree .,6309,20
364,Brer Rabbit is startled and runs away .,2732,20
365,Brer Coon meets Brer Rabbit and asks him about the commotion .,1325,20
366,Brer Rabbit tells Brer Coon that there 's a big fuss back in the woods .,1325,20
367,"Brer Coon runs off to investigate , spreading the news to other animals .",5012,20
368,"Brer Coon , PERSON PERSON , and PERSON PERSON all run off to investigate .",341,20
369,"Brer Coon , PERSON PERSON , and PERSON PERSON meet one another and spread the news .",341,20
370,"The animals finally arrive at Brer Terrapin 's house , winded and curious .",4314,20
371,PERSON PERSON laughs at the animals ' confusion and tells them to run along .,567,20
372,"The animals try to figure out who started the news , but ca n't agree .",1582,20
373,PERSON PERSON suggests they visit Brer Rabbit to clear things up .,1408,20
374,"The animals visit Brer Rabbit , who claims he did n't cause any commotion .",2720,20
375,"The animals ask Brer Rabbit about the noise , but he denies any involvement .",2720,20
376,The animals are fooled and make their apologies to Brer Rabbit .,2720,20
377,The little boy concludes that Brother PERSON had the best of the situation .,1013,20
378,Henny - Penny picks up corn in the cornyard,5194,21
379,Something hits Henny - Penny on the head,5194,21
380,Henny - Penny decides to tell the king the sky is falling,5194,21
381,Henny - Penny meets Cocky - Locky and asks to join her,2614,21
382,Cocky - Locky agrees to accompany Henny - Penny,2614,21
383,Henny - Penny and Cocky - Locky meet Ducky - Daddles,2614,21
384,Ducky - Daddles asks to join Henny - Penny and Cocky - Locky,2614,21
385,Henny - Penny and companions meet Goosey - Poosey,2614,21
386,Geese - Poosey asks to join the group,5011,21
387,Henny - Penny and companions meet Turkey - Lurkey,2614,21
388,Turkey - Lurkey asks to join the group,1318,21
389,Foxy - Woxy meets Henny - Penny and companions,2614,21
390,Foxy - Woxy offers to show them a shortcut,3499,21
391,Foxy - Woxy lures Henny - Penny 's companions into the cave,2614,21
392,Turkey - Lurkey is eaten by Foxy - Woxy in the cave,1904,21
393,Goosey - Poosey is eaten by Foxy - Woxy in the cave,1904,21
394,Ducky - Daddles is eaten by Foxy - Woxy in the cave,1904,21
395,Cocky - Locky is partially eaten by Foxy - Woxy in the cave,1904,21
396,Cocky - Locky sends a warning to Henny - Penny,2614,21
397,"Henny - Penny flees , not telling the king about the falling sky",5194,21
398,A hen picks at pea - straw .,827,22
399,A pea falls on the hen 's head .,297,22
400,The hen thinks the sky is falling .,836,22
401,The hen decides to go tell the king .,461,22
402,The hen goes somewhere .,461,22
403,The hen meets a cock .,461,22
404,The cock asks the hen where she 's going .,461,22
405,The hen tells the cock she 's going to tell the king .,461,22
406,The cock offers to go with the hen .,461,22
407,All three of them go somewhere .,1333,22
408,They meet another animal .,1582,22
409,The new animal asks them where they 're going .,567,22
410,They tell the new animal they 're going to tell the king .,852,22
411,The new animal offers to go with them .,567,22
412,The group of animals gets larger .,1582,22
413,They come to a wood .,5897,22
414,They meet the fox .,1591,22
415,A hen perches in an oak tree for the night .,2337,23
416,The hen dreams about PERSON and the world coming to an end .,461,23
417,The hen wakes up and jumps down from the tree .,2337,23
418,The hen sets out on her way to Dovrefjell .,461,23
419,"The hen meets a cock , and they exchange greetings .",461,23
420,The hen tells the cock about her dream and decision to go to PERSON .,461,23
421,The cock asks the hen who told her about PERSON and decides to join her .,461,23
422,The hen and the cock continue walking and meet a duck .,2487,23
423,The hen tells the duck about her dream and her decision to go to PERSON .,2487,23
424,The duck asks the hen who told her about PERSON and decides to join her .,2487,23
425,"The hen , the cock , and the duck meet a goose .",3283,23
426,The duck tells the goose about her dream and her decision to go to PERSON .,2487,23
427,The goose asks the duck who told her about PERSON and decides to join her .,2487,23
428,"The hen , the cock , the duck , and the goose meet a fox .",3283,23
429,The fox and the hen have a conversation about PERSON and the world coming to an end .,506,23
430,The fox convinces the hen and the others to go home with him .,676,23
431,The hen and the others go home with the fox to his den .,676,23
432,The fox lays out fuel to make them sleepy .,2562,23
433,The hen and the others fall asleep .,3216,23
434,The fox roasts the goose and the duck .,5701,23
435,The hen smells the roast meat and is skeptical .,5548,23
436,The fox tricks the hen into falling asleep again .,5701,23
437,The fox roasts the duck .,5701,23
438,The hen discovers the fox 's actions and wakes up the cock .,461,23
439,The hen tells the cock about the fox 's actions .,461,23
440,"The hen , the cock , and the others escape from the fox 's den through the chimney .",4479,23
441,The hen and the cock fly to Dovrefjell .,461,23
442,Cat talks to a dog in the yard .,662,24
443,Cat says he is fleeing the country because he heard the last trump .,662,24
444,Dog asks to go with the cat .,0,24
445,Cat seats the dog on his back and they run .,801,24
446,They meet a cock and the cat invites him to sit on his back .,1284,24
447,"Cat talks to a rabbit in a field , saying he heard the last trump .",662,24
448,Rabbit asks to go with the cat .,4931,24
449,Cat seats the rabbit on his back and they run .,801,24
450,They meet a goose who is skeptical of the cat 's urgency .,937,24
451,Goose asks to go with the cat and they all run together .,937,24
452,"Cat , dog , and passengers rest for a while in a forest .",1222,24
453,Dog is sent to scout ahead for shelter .,2044,24
454,Cock finds a house in the distance and they all go to find it .,4988,24
455,"Villagers are gathered around a man in red , who makes a declaration about a reward .",2823,24
456,PERSON asks a peasant about the man in red and his declaration .,994,24
457,Cat learns about the king 's ring and decides to get it .,3060,24
458,"Cat , dog , and passengers discuss and then decide to get the ring .",3060,24
459,Cat climbs the tree and gets the ring .,3060,24
460,Rabbit gnaws open the wooden box to get the ring .,3060,24
461,The animals plan to go to the king 's palace and get the reward .,852,24
462,Goose helps the animals cross a river to get to the palace .,46,24
463,Cock flies up to the king 's window with the ring and gets the reward .,81,24
464,The animals leave the palace and come to a place where five ways meet .,46,24
465,They decide to part ways and each chooses a different road .,4310,24
466,"A pig offers itself for a feast , but runs away .",2503,24
467,A nut falls on Henny Penny 's tail .,5194,25
468,Someone tells Henny Penny to run .,5194,25
469,PERSON PERSON and their companion run for a while .,3020,25
470,They meet another bird who thinks the end of the world has come .,836,25
471,This new bird asks the previous one why they think the end of the world has come .,836,25
472,Each bird reports hearing about the end of the world from another bird .,836,25
473,All the birds decide to run away with Henny Penny .,5194,25
474,PERSON PERSON pretends to count the safe birds .,720,25
475,Foxy Coxy identifies Henny Penny as number five .,2614,25
476,PERSON PERSON takes Henny Penny behind a PERSON .,2614,25
477,PERSON PERSON reports that PERSON PERSON is safe .,2960,25
478,Foxy Coxy checks the other birds ' safety one by one .,720,25
479,"PERSON PERSON puts each bird behind a PERSON , claiming it 's safe for them .",720,25
480,Each bird is relieved that they are safe .,4338,25
481,A vilva tree fell into a lake .,396,26
482,Six hares heard a great noise and ran away in fear .,1124,26
483,Jackals saw hares running and asked where they were going .,814,26
484,Hares replied to jackals that there was a great noise .,814,26
485,Jackals saw hares running again and also took flight .,814,26
486,Monkeys saw jackals running and asked where they were going .,2497,26
487,Jackals replied to monkeys that there was a great noise .,4861,26
488,Monkeys saw jackals running again and also took flight .,2497,26
489,Gazelles saw monkeys running and asked where they were going .,2497,26
490,Monkeys replied to gazelles that there was a great noise .,4861,26
491,Gazelles saw monkeys running again and also took flight .,2497,26
492,Boars saw gazelles running and asked where they were going .,1211,26
493,Gazelles replied to boars that there was a great noise .,4861,26
494,Boars saw gazelles running again and also took flight .,1211,26
495,Buffaloes saw boars running and asked where they were going .,1211,26
496,Boars replied to buffaloes that there was a great noise .,4861,26
497,Buffaloes saw boars running again and also took flight .,1211,26
498,Rhinoceroses saw buffaloes running and asked where they were going .,1211,26
499,Buffaloes replied to rhinoceroses that there was a great noise .,4861,26
500,Rhinoceroses saw buffaloes running again and also took flight .,1211,26
501,Elephants saw rhinoceroses running and asked where they were going .,1211,26
502,Rhinoceroses replied to elephants that there was a great noise .,4861,26
503,Elephants saw rhinoceroses running again and also took flight .,1211,26
504,Bears saw elephants running and asked where they were going .,4340,26
505,Elephants replied to bears that there was a great noise .,4861,26
506,Bears saw elephants running again and also took flight .,4340,26
507,Hyenas saw bears running and asked where they were going .,2497,26
508,Bears replied to hyenas that there was a great noise .,4861,26
509,Hyenas saw bears running again and also took flight .,1211,26
510,Panthers saw hyenas running and asked where they were going .,2497,26
